video_id,comment,likes,published_at
Yxh89a6Fs5s,"If you ever lost a friend this video might help❤️<br><br><a href=""https://www.youtube.com/watch?v=ja1Yb3kHzEg"">https://youtu.be/ja1Yb3kHzEg</a>",10,2025-12-30T11:30:07Z
Yxh89a6Fs5s,Algorithm is so insane bc you literally popped up the exact moment I needed to hear this,393,2025-09-09T14:41:48Z
Yxh89a6Fs5s,I feel very insecure when I see popular people who are super fit and athletic and loud 😢😢,1,2026-06-29T15:23:25Z
Yxh89a6Fs5s,Video summary <br>1. Accept the reality <br>2. Focus on yourself,216,2025-09-08T15:14:59Z
Yxh89a6Fs5s,"The reason I feel lonely isn’t because I’m an introvert or can’t talk to people. I try to connect, but the way people have treated me—friends, family, even those I approached—has left me feeling invisible. No matter how much I try to initiate conversations, people distance themselves later. So, I’ve started staying silent rather than being fake.<br><br>Honestly, I don’t enjoy college anymore. I feel like I don’t belong here. My batchmates have friends, go out, have fun together. I’ve tried to be part of that, but I’m never included. It feels like I don’t exist for them. I keep asking myself, why? What did I do wrong?<br><br>People say time heals everything. I’ve been waiting for years, but this phase hasn’t passed. I moved on from my past, but the present feels unbearable. Everywhere I look, people are bonding, making memories, and I’m here feeling left out and different.<br><br>I want to change, I want to be happy and have genuine friends, but no matter what I do, nothing changes. Why is life so unfair? Why only me? I know I’m not the only one going through this, but this pain feels endless.<br><br>If anyone has been through something similar, how did you overcome it? How do you deal with this feeling of being left out? I really need some advice or hope right now.",478,2025-08-31T14:23:54Z
Yxh89a6Fs5s,"1)Never disclose your darkest secrets to anyone even when you are too emotional<br>2) Always keep low expectations from your friends<br>3) Always give priority to yourself......I was a Yes Man in college and believe me I regretted about it for a long time<br>4) You will do mistakes, don&#39;t be harsh on yourselves rather learn from it.<br>5) In this world your parents are the only true selfless person who wants to see you succeed much more than themselves.",306,2025-09-08T19:51:03Z
Yxh89a6Fs5s,the fun part is i am actually sitting all by myself in the mess listening to this :),250,2025-09-14T14:23:39Z
Yxh89a6Fs5s,"‘Dost kam rakhiyo,circle chota rakhiyo ,<br>Paisa bohot aane wale hai , wallet mota rakhiyo’",79,2025-09-24T01:48:19Z
Yxh89a6Fs5s,"Believe me guys being alone isn&#39;t that bad,just focus on ur studies and call ur family and school friends",269,2025-09-23T14:26:17Z
Yxh89a6Fs5s,Never ever waste time doubting yourself. It&#39;s now an ocean; we came from a lake and that&#39;s obviously different &amp; less noticed. you are what you were and feel special as always,68,2025-09-09T17:03:21Z
